year_month,score_date,ticker,ticker_name,ticker_role,score_return,score_ma_pos,score_momentum,score_vol,score_rs,direction_date,hsi_direction,raw3_signal_date,raw3_signal,raw_signal_date,ret_1m,ret_3m,ma_gap,momentum,volatility,relative_strength,ret_6m,ret_12m,drawdown,shock_count,defensive_rs,event_balance_raw,event_intensity_raw,event_balance_13612w,event_intensity_13612w,event_balance_13612w_label,event_intensity_13612w_label
2012-03,2012-03-31,069500,KODEX 200,위험자산,,,,,,2012-03-31,0.0,2012-03-31,watch,2012-03-31,,,,,,,,,-0.014406,0,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03,2012-03-31,114260,KODEX 국고채3년,방어 채권,,,,,,2012-03-31,0.0,2012-03-31,watch,2012-03-31,,,,,,,,,-0.001225,0,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-03,2012-03-31,153130,KODEX 단기채권PLUS,현금성 방어자산,,,,,,2012-03-31,0.0,2012-03-31,watch,2012-03-31,,,,,,,,,0.0,0,,,,,,mixed_or_neutral,low_accumulated_intensity
2012-04,2012-04-30,069500,KODEX 200,위험자산,,,,,,2012-04-30,0.0,2012-04-30,watch,2012-04-30,-0.007808,,,-0.007808,0.120977,0.0,,,-0.027551,0,-0.008361,,,,,mixed_or_neutral,low_accumulated_intensity
2012-04,2012-04-30,114260,KODEX 국고채3년,방어 채권,,,,,,2012-04-30,0.0,2012-04-30,watch,2012-04-30,0.007079,,,0.007079,0.010446,0.014887,,,0.0,0,0.004044,,,,,mixed_or_neutral,low_accumulated_intensity
2012-04,2012-04-30,153130,KODEX 단기채권PLUS,현금성 방어자산,,,,,,2012-04-30,0.0,2012-04-30,watch,2012-04-30,0.00304,,,0.00304,0.001483,0.010847,,,0.0,0,0.0,,,,,mixed_or_neutral,low_accumulated_intensity
2012-05,2012-05-31,069500,KODEX 200,위험자산,,,,,,2012-05-31,0.0,2012-05-31,watch,2012-05-31,-0.077546,,,-0.077546,0.214479,0.0,,,-0.10296,2,-0.08759,,,,,mixed_or_neutral,low_accumulated_intensity
2012-05,2012-05-31,114260,KODEX 국고채3년,방어 채권,,,,,,2012-05-31,0.0,2012-05-31,watch,2012-05-31,0.006467,,,0.006467,0.011031,0.084013,,,0.0,0,0.003487,,,,,mixed_or_neutral,low_accumulated_intensity
2012-05,2012-05-31,153130,KODEX 단기채권PLUS,현금성 방어자산,,,,,,2012-05-31,0.0,2012-05-31,watch,2012-05-31,0.00313,,,0.00313,0.002011,0.080676,,,0.0,0,0.0,,,,,mixed_or_neutral,low_accumulated_intensity
2012-06,2012-06-30,069500,KODEX 200,위험자산,,-0.6828448558815157,,,,2012-06-30,-0.0136568971176303,2012-06-30,watch,2012-06-30,0.001629,-0.090452,-0.033605,-0.044411,0.220253,0.0,,,-0.099666,2,0.001147,0.3333333333333333,0.3333333333333333,,,mixed_or_neutral,low_accumulated_intensity
2012-06,2012-06-30,114260,KODEX 국고채3년,방어 채권,,-0.7741466514600446,,,,2012-06-30,-0.0154829330292008,2012-06-30,watch,2012-06-30,0.004091,0.017949,0.006706,0.01102,0.013839,0.002462,,,-0.000375,0,0.000257,0.3333333333333333,0.3333333333333333,,,mixed_or_neutral,low_accumulated_intensity
2012-06,2012-06-30,153130,KODEX 단기채권PLUS,현금성 방어자산,,-4.618982749589963,,,,2012-06-30,-0.0923796549917992,2012-06-30,watch,2012-06-30,0.002973,0.009021,0.003999,0.005997,0.001154,0.001343,,,0.0,0,0.0,0.3333333333333333,0.3333333333333333,,,mixed_or_neutral,low_accumulated_intensity
2012-07,2012-07-31,069500,KODEX 200,위험자산,-4.260848779296882,-9.856071593825954,-3.607291035068339,2.922065872254982,,2012-07-31,-0.2960429107187238,2012-07-31,watch,2012-07-31,0.021809,-0.055313,0.021666,-0.016752,0.205978,0.0,,,-0.043794,2,0.010302,-0.125,0.875,,,mixed_or_neutral,low_accumulated_intensity
2012-07,2012-07-31,114260,KODEX 국고채3년,방어 채권,-7.688335257122699,-4.572910647462699,-6.985247073119783,9.240050696396574,4.166335732488811,2012-07-31,-0.1168021309763959,2012-07-31,watch,2012-07-31,0.015304,0.024232,0.013468,0.019768,0.02694,-0.006505,,,-0.00203,0,0.011275,-0.125,0.875,,,mixed_or_neutral,low_accumulated_intensity
2012-07,2012-07-31,153130,KODEX 단기채권PLUS,현금성 방어자산,-7.813335553439683,-4.043842833249743,-4.973024648671775,8.827007912065007,5.154079947921097,2012-07-31,-0.0569823035075019,2012-07-31,watch,2012-07-31,0.003507,0.009289,0.00442,0.006398,0.0028,-0.018302,,,0.0,0,0.0,-0.125,0.875,,,mixed_or_neutral,low_accumulated_intensity
