_sample_part,year_month,ticker,hsi_state,state_kr,hsi_direction,state_valid,score_return,call_rate,cd91_rate,corp_aa3y_rate,gov1y_rate,gov3y_rate,gov10y_rate,corp_bbb3y_rate,cp91_rate,rp_rate,rate_level,rate_source,rate_change_1m,rate_up_flag,rate_z,term_spread_10y_1y,credit_spread_aa_gov3y,cp_cd_spread,usdkrw,jpykrw_100,eurkrw,usdkrw_return_1m,usdkrw_change_1m,fx_up_flag,fx_z,gdp_level_billion_krw,gdp_growth_decimal,gdp_growth_decimal_lagged,gdp_growth_pct_lagged,gdp_unit_detected,gdp_growth_band,gdp_below_2_flag,gdp_stable_2_3_flag,rate_fx_departure,rate_fx_risk_departure_flag,rate_fx_relief_departure_flag,policy_growth_pressure_flag,macro_defense_addon,macro_relief_addon,macro_companion_regime,macro_data_available,gdp_data_available,macro_companion_regime_filled,gdp_availability_status,hsi_risk_flag,hsi_relief_flag,macro_risk_flag,macro_relief_flag,hsi_macro_overlap_type,hsi_macro_risk_agreement_flag,hsi_macro_disagreement_flag,_review_mark,_columns_to_check,_review_question,_my_interpretation
head,2012-03,69500,insufficient_data,자료 부족,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,,,0,0,0,0,macro_data_unavailable,0,0,?,"hsi_state, macro_risk_flag, macro_defense_addon 관련 컬럼",HSI 상태와 macro risk flag의 월말 정렬 기준이 기존 ETF 데이터 기준과 충돌하지 않는지 확인 부탁드립니다.,13번은 HSI 위험상태와 macro 위험의 겹침을 보는 진단표입니다.
head,2012-04,69500,insufficient_data,자료 부족,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,0,0,0,macro_data_unavailable,0,0,,,,
head,2012-05,69500,insufficient_data,자료 부족,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,0,0,0,macro_data_unavailable,0,0,,,,
head,2012-06,69500,insufficient_data,자료 부족,-0.0136568971176303,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,0,0,0,macro_data_unavailable,0,0,,,,
head,2012-07,69500,risk_relief,위험 완화 우세,-0.2960429107187238,True,-4.260848779296882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0,,,,
head,2012-08,69500,risk_relief,위험 완화 우세,-0.1388268728300401,True,-1.111889926808045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0,,,,
head,2012-09,69500,risk_relief,위험 완화 우세,-0.263421115887263,True,-4.704941101634016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0,,,,
head,2012-10,69500,neutral_watch,중립 관찰,0.0344288444059409,True,3.444205808257003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,0,0,0,macro_data_unavailable,0,0,,,,
head,2012-11,69500,risk_relief,위험 완화 우세,-0.2682681781255061,True,-2.246816288536872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0,,,,
head,2012-12,69500,risk_relief,위험 완화 우세,-0.4798784286512771,True,-4.996433509521657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,0,macro_data_unavailable,gdp_unavailable,0,1,0,0,macro_data_unavailable,0,0,,,,
