Month,Ticker,MonthEndDate,price,ret21,ret63,ma20_gap,ma60_gap,vol20,vol60,rel_strength_63,ma20_gap_q90,large_down,large_up,medium_down,medium_up,small_down,small_flat,small_up,medium_flat,large_flat,risk_event_count,overheat_event_count,event_balance,risk_score,overheat_score,recovery_score,vol_rising,trend_negative,trend_positive,momentum_negative,momentum_positive,relative_positive,relative_negative,gap_overheated,high_vol_mixed,HSIStateLabel,StateReason,hsi_direction_score_draft,HSIStateLabelOriginal,HSIState5,StateLabelKR
2014-03,69500,2014-03-31,20614.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0,1,False,False,False,False,False,False,False,False,False,중립/혼조,위험악화·과열·회복 중 어느 한쪽이 뚜렷하지 않음,-1.0,중립/혼조,neutral_watch,관찰·중립
2014-04,69500,2014-04-30,20419.0,-0.0102278235579253,,-0.014793299108349,,0.0788203342726031,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0,1,False,False,False,False,False,False,False,False,False,중립/혼조,위험악화·과열·회복 중 어느 한쪽이 뚜렷하지 않음,-1.0,중립/혼조,neutral_watch,관찰·중립
2014-05,69500,2014-05-30,20811.0,0.0144284669753838,,0.0033507701950197,,0.1052538961518825,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0,1,False,False,False,False,False,False,False,False,False,중립/혼조,위험악화·과열·회복 중 어느 한쪽이 뚜렷하지 않음,-1.0,중립/혼조,neutral_watch,관찰·중립
2014-06,69500,2014-06-30,20811.0,-0.0092830619822907,,0.0027754488421174,0.0033427079148251,0.1098522167789853,0.0964840074938664,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2,2,True,False,True,False,False,False,False,False,False,중립/혼조,위험악화·과열·회복 중 어느 한쪽이 뚜렷하지 않음,0.0,중립/혼조,neutral_watch,관찰·중립
2014-07,69500,2014-07-31,21608.0,0.0337766720887953,0.0532780892030222,0.0311915397243538,0.0372271486493838,0.0885001498875042,0.0997147305384649,0.0161264508788327,,0.0,1.0,2.0,5.0,7.0,1.0,7.0,0.0,0.0,2.0,7.0,5.0,0,4,4,False,False,True,False,True,True,False,False,False,과열 후보,상승 사건과 양호한 추세가 강하지만 과도한 상승 여부 확인 필요,-2.0,과열 후보,neutral_watch,관찰·중립
2014-08,69500,2014-08-29,21198.0,-0.0237185096485975,0.0100538428551006,-0.0006270242747968,0.0107361110007391,0.0988463863350738,0.0989896621219475,-0.0106880127262829,,2.0,0.0,2.0,4.0,6.0,1.0,5.0,0.0,0.0,6.0,4.0,-2.0,4,3,2,False,False,False,False,True,False,True,False,False,위험악화,하락 사건·약세 추세·변동성 확대 신호가 우세함,3.5,위험악화,risk_warning,위험 악화 우세
2014-09,69500,2014-09-30,20505.0,-0.0345136076843394,-0.0101853639698783,-0.0171996060171061,-0.0237829422672706,0.074480965943903,0.0894850661050142,-0.0312261103002582,,1.0,0.0,3.0,1.0,10.0,0.0,4.0,0.0,0.0,5.0,1.0,-4.0,5,0,1,False,True,False,True,False,False,True,False,False,위험악화,하락 사건·약세 추세·변동성 확대 신호가 우세함,4.0,위험악화,risk_warning,위험 악화 우세
2014-10,69500,2014-10-31,19987.0,-0.0252621311875151,-0.0592139326900447,0.0185470658231008,-0.0273894943272091,0.1314060226617023,0.1058992409181842,-0.0485788728566522,0.0148266054373084,3.0,2.0,3.0,3.0,8.0,0.0,2.0,0.0,0.0,9.0,7.0,-2.0,7,6,0,True,False,False,True,False,False,True,True,True,강한 위험악화,큰 하락 사건과 위험 지표가 동시에 강하게 나타남,10.0,강한 위험악화,accident_zone,강한 위험 악화
2014-11,69500,2014-11-28,20241.0,0.0203145478374835,-0.046764622774795,0.0136211127247232,0.0052270215909513,0.0838808094435081,0.1028023610471248,-0.0665985889142017,0.015558104825107,0.0,0.0,3.0,5.0,6.0,2.0,4.0,0.0,0.0,3.0,5.0,2.0,3,3,2,False,False,True,True,False,False,True,False,False,중립/혼조,위험악화·과열·회복 중 어느 한쪽이 뚜렷하지 않음,2.5,중립/혼조,conflict,충돌 상태
2014-12,69500,2014-12-30,19749.0,-0.0243070994516081,-0.0411244901922703,-0.0086390811752362,-0.0045473905639755,0.1119111407570046,0.1078944360478962,-0.0555883561713052,0.0149369127367519,1.0,1.0,4.0,2.0,7.0,0.0,6.0,0.0,0.0,6.0,4.0,-2.0,6,2,0,True,True,False,True,False,False,True,False,True,위험악화,하락 사건·약세 추세·변동성 확대 신호가 우세함,7.0,위험악화,risk_warning,위험 악화 우세
